,input,prediction,ground_truth
10,"What would vinyl be an odd thing to replace? ['(A) pants ', '(B) record albums ', '(C) record store ', '(D) cheese ', '(E) wallpaper ']",wallpaper wallpaper wallpaper wallpaper wallpaper wallpaper wallpaper wallpaper wallpaper wallpaper,wallpaper
11,"If you want harmony, what is something you should try to do with the world? ['(A) take time ', '(B) make noise ', '(C) make war ', '(D) make peace ', '(E) make has","make peace ', make peace ']",make peace
12,"Where does a heifer's master live? ['(A) farm house ', '(B) barnyard ', '(C) stockyard ', '(D) slaughter house ', '(E) eat cake ']",farm house or a slaughter house,farm house
13,"Aside from water and nourishment what does your dog need? ['(A) bone ', '(B) charm ', '(C) petted ', '(D) lots of attention ', '(E) walked ']",lots of attention,lots of attention
14,"Janet was watching the film because she liked what? ['(A) erection ', '(B) laughter ', '(C) being entertained ', '(D) fear ', '(E) bordem ']",being entertained,being entertained
15,"What are you waiting alongside with when you're in a reception area? ['(A) motel ', '(B) chair ', '(C) hospital ', '(D) people ', '(E) hotels ']",people people people people people people people people people people,people
16,"When drinking booze what can you do to stay busy? ['(A) reach tentative agreement ', '(B) stay in bed ', '(C) stop bicycle ', '(D) examine thing ', '(E) suicide ']","examine thing ', '(D) examine thing ', '(e",examine thing
17,"A fencing thrust with a sharp sword towards a person would result in what? ['(A) injury ', '(B) small cuts ', '(C) fever ', '(D) competition ', '(E) puncture wound '",puncture wound,puncture wound
18,"Unlike a spider and his many sight seers, people only have what? ['(A) tongues ', '(B) names ', '(C) brains ', '(D) feelings ', '(E) two eyes '",two eyes,two eyes
19,"Where do adults use glue sticks? ['(A) classroom ', '(B) desk drawer ', '(C) at school ', '(D) office ', '(E) kitchen drawer ']",office office office office office office office office office office,office
20,"What could go on top of wood? ['(A) lumberyard ', '(B) synagogue ', '(C) floor ', '(D) carpet ', '(E) hardware store ']",carpet carpet carpet carpet carpet carpet carpet carpet carpet carpet,carpet
21,"The artist was sitting quietly pondering, then suddenly he began to paint when what struck him? ['(A) sadness ', '(B) anxiety ', '(C) inspiration ', '(D) discomfort ', '(E) insights",inspiration inspiration inspiration inspiration inspiration inspiration inspiration inspiration inspiration inspiration,inspiration
22,"Though the thin film seemed fragile, for it's intended purpose it was actually nearly what? ['(A) indestructible ', '(B) durable ', '(C) undestroyable ', '(D) indestructible ',",durable durable durable durable durable durable durable durable durable durable,indestructible
23,"Where could you find a toilet that only friends can use? ['(A) rest area ', '(B) school ', '(C) stadium ', '(D) apartment ', '(E) hospital ']","rest area rest area ', '(C) rest area ',",apartment
24,"What is someone who isn't clever, bright, or competent called? ['(A) clumsy ', '(B) ineffectual ', '(C) dull ', '(D) clumsy ', '",ineffectual ineffectual or dull],stupid
25,"When wildlife reproduce we often refer to what comes out as what? ['(A) raise children ', '(B) have children ', '(C) photo copy ', '(D) offspring ', '(E) accidently got pregnant somehow ","offspring ', '(E) accidently got pregnant somehow ',",offspring
26,"The weasel was becoming a problem, it kept getting into the chicken eggs kept in the what? ['(A) forrest ', '(B) barn ', '(C) public office ', '(D) out of doors ',",barn the forrest,barn
27,"Blue read material outside of his comfort zone because he wanted to gain what? ['(A) new perspective ', '(B) entertained ', '(C) understanding ', '(D) hunger ', '(E) tired eyes ']",new perspective understanding understanding new perspective understanding understanding new perspective understanding,new perspective
28,"After he got hired he hoped for success at his what? ['(A) vocation ', '(B) new job ', '(C) michigan ', '(D) working hard ', '(E) manual ']",new job,new job
29,"Committing perjury is a serious what? ['(A) indictment ', '(B) crime ', '(C) violence ', '(D) lie ', '(E) go to jail ']",lie indictment a serious indictment,crime
30,"If you are prone to postpone work what will you have to do in order to finish on time? ['(A) eat ', '(B) hasten ', '(C) antedate ', '(D) bring forward ',","hasten ', '(C) antedate ', '(",hasten
31,"James wanted to find an old underground map from the 50s. Where might he look for one? ['(A) library ', '(B) subway station ', ""(C) county engineer's office "", '(D) super market ', '(",county engineer's office,library
32,"Sean was in a rush to get home, but the light turned yellow and he was forced to do what? ['(A) take time ', '(B) dawdle ', '(C) go slowly ', '(D) ocean '",take time,slow down
33,"Where would a person be doing when having to wait their turn? ['(A) have patience ', '(B) get in line ', '(C) sing ', '(D) stand in line ', '(E) turn left '",stand in line,stand in line
34,"She was always helping at the senior center, it brought her what? ['(A) satisfaction ', '(B) heart ', '(C) feel better ', '(D) pay ', '(E) happiness ']",satisfaction heart heart heart heart heart heart heart heart heart,happiness
35,"The lock kept the steering wheel from moving, but the thief still took his chances and began to work on the what? ['(A) keep cloesd ', '(B) train ', '(C) ignition switch ', '(D",train train train train train train train train train train,ignition switch
36,"Who is a police officer likely to work for? ['(A) beat ', '(B) direct traffic ', '(C) city ', '(D) street ', '(E) president ']",beat beat beat beat beat beat beat beat beat beat,city
37,"If you have leftover cake, where would you put it? ['(A) quandry ', '(B) refrigerator ', '(C) oven ', '(D) night stand ', '(E) bakery ']",refrigerator refrigerator refrigerator refrigerator refrigerator refrigerator refrigerator refrigerator refrigerator refrigerator,refrigerator
38,"A human wants to submerge himself in water, what should he use? ['(A) whirlpool bath ', '(B) coffee cup ', '(C) cup ', '(D) soft drink ', '(E",whirlpool bath,whirlpool bath
39,"Where is a doormat likely to be in front of? ['(A) facade ', '(B) front door ', '(C) doorway ', '(D) entrance porch ', '(E) hallway ']","front door ', '(C) doorway ', '(D",front door
40,"Bob the lizard lives in a warm place with lots of water. Where does he probably live? ['(A) rock ', '(B) tropical rainforest ', '(C) jazz club ', '(D) new mexico ',",tropical rainforest new mexico,tropical rainforest
41,"August needed money because he was afraid that he'd be kicked out of his house. What did he need money to do? ['(A) control people ', '(B) pay bills ', '(C) hurt people ', '(D",pay bills,pay bills
42,"He needed more information to fix it, so he consulted the what? ['(A) chickens ', '(B) google ', '(C) newspaper ', '(D) online ', '(E) manual ']",manual manual manual manual manual manual manual manual manual manual,manual
43,"Where can you put a picture frame when it's not hung vertically? ['(A) art show ', '(B) wall ', '(C) newspaper ', '(D) car ', '(E) table ']",table table table table table table table table table table,table
44,"James knew that he shouldn't have been buying beer for minors. He didn't even get paid for it. Why was this bad? ['(A) lose money ', '(B) fun ', '(C) have no money ', '(",fun have no money,broken law
45,"What is the result of applying for job? ['(A) anxiety and fear ', '(B) increased workload ', '(C) praise ', '(D) less sleep ', '(E) being employed ']",anxiety and fear,being employed
46,"What must someone do before they shop? ['(A) get money ', '(B) have money ', '(C) bring cash ', '(D) go to market ', '(E) bring cash ']",get money,get money
47,"Because John was first violin, he had to bring something important to work ever day. What did he need to bring to work? ['(A) music store ', '(B) obesity ', '(C) symphony orchestra ', '",music store obesity obesity obesity obesity obesity obesity obesity obesity,violin case
48,"What is a place that usually does not have an elevator and that sometimes has a telephone book? ['(A) at hotel ', '(B) kitchen ', '(C) library ', '(D) telephone booth ', '(E)",telephone booth at hotel at hotel at hotel at hotel at hotel at,house
49,"Who is likely to be excited about a crab? ['(A) fish market ', '(B) pet shop ', '(C) fishmongers ', '(D) intertidal zone ', '(E) obesity ",fishmongers,fishmongers
50,"Where can a human find clothes that aren't pants? ['(A) pants shop ', '(B) on planet earth ', '(C) dress shop ', '(D) school ', '(E) train wreck ']",dress shop,dress shop
51,"If I was getting drunk, and people couldn't understand me, what might I be having? ['(A) a seizure ', '(B) slurred speech ', '(C) death ', '(D) forgetfulness ",slurred speech,slurred speech
52,"When a person is beginning work, what are they building? ['(A) time ', '(B) accomplishing ', '(C) working ', '(D) momentum ', '(E) tiredness ']",momentum time accomplishing working on a task that is already started.,momentum
53,"A child wants to play, what would they likely want? ['(A) fall down ', '(B) breathe ', '(C) play tag ', '(D) be dismembered by a chainsaw ', '(E)",play tag,play tag
54,"Talking to the same person about the same thing over and over again is something someone can what? ['(A) social life ', '(B) friendship ', '(C) eye contact ', '(D) get tired of ', '(E","get tired of ', '(E) get tired of ', '",get tired of
55,"The teacher doesn't tolerate noise during a test in their what? ['(A) movie theatre ', '(B) bowling alley ', '(C) factory ', '(D) store ', '(E) classroom ']",classroom classroom classroom classroom classroom classroom classroom classroom classroom classroom,classroom
56,"The freeway had no traffic and few buildings, where is it? ['(A) california ', '(B) countryside ', '(C) big town ', '(D) florida ', '(E) ",countryside countryside countryside countryside countryside countryside countryside,countryside
57,"Where would you go if you wanted to have fun with a few people? ['(A) watching television ', '(B) good ', '(C) cinema ', ""(D) friend's house "", '(E) fairgrounds ",cinema cinema cinema cinema cinema cinema cinema cinema cinema cinema,friend's house
58,"If there is a place that is hot and arid, what could it be? ['(A) bland ', '(B) lifeless ', '(C) sandy ', '(D) neutral ', '(E) freezing '",sandy sandy sandy sandy sandy sandy sandy sandy sandy sandy,lifeless
59,"What is likely to satisfy someone's curiosity? ['(A) hear news ', '(B) read book ', '(C) see favorite show ', '(D) comedy show ', '(E) go somewhere ']","read book ', '(C) see favorite show ', '(",hear news
60,"If you are in a bar in a glove shaped state where are you? ['(A) in my pocket ', '(B) michigan ', '(C) new york city ', '(D) restaurant ', '(E)",michigan in my pocket,michigan
61,"Where would a computer user be using their own computer? ['(A) hell ', '(B) school ', '(C) indoors ', '(D) internet cafe ', '(E) house ']",house house house house house house house house house house,house
62,"Crabs live in what sort of environment? ['(A) maritime ', '(B) bodies of water ', '(C) saltwater ', '(D) galapagos ', '(E) fish market ']",saltwater saltwater saltwater saltwater saltwater saltwater salt,saltwater
63,"Where can you find a snake in tall grass? ['(A) tree ', '(B) in a jar ', '(C) pet shops ', '(D) feild ', '(E) tropical forest ",feild,feild
64,"What is a place that has a bench nestled in trees? ['(A) state park ', '(B) bus stop ', '(C) bus depot ', '(D) statue ', '(E) train station ']",state park,state park
65,"Where is a human likely to go as a result of being hungry? ['(A) eat in restaurant ', '(B) make bread ', '(C) have lunch ', '(D) cook dinner ', '(E) friends",eat in restaurant,eat in restaurant
66,"He was beginning to regret taking the fight when he saw how what his opponent was? ['(A) fun ', '(B) joy ', '(C) satisfaction ', '(D) confident ', '(E) pride ']",fun fun fun fun fun fun fun,confident
67,"Where would you find a single shower curtain being used? ['(A) bathtub ', '(B) washing area ', '(C) hotel ', '(D) shower stall ', '(E) department store ']",shower stall,bathtub
68,"Where is a good idea but not required to have a fire extinguisher? ['(A) school bus ', '(B) boat ', '(C) house ', '(D) hospital ', '(E) school ",school bus hospital school bus school bus school bus,house
69,"What continent has the most castles? ['(A) fairy tale ', '(B) edinburgh ', '(C) germany ', '(D) europe ', '(E) antarctica ']",europe europe europe europe europe europe,europe
70,"If you have to read a book that is very dry and long you may become what? ['(A) have time ', '(B) boring ', '(C) learn new ', '(D) enjoyable ', '(E) bored ",bored bored bored bored bored bored bored bored bored bored,bored
71,"Sally used a clipboard to hold her papers while she read off names at the beginning of the day. Where might she work? ['(A) desk ', '(B) windows 95 ', '(C) office supply store ', '(D) see",office supply store,school
72,"The kids didn't clean up after they had done what? ['(A) learn things ', '(B) play games ', '(C) disneyland ', '(D) play with toys ', '(E) talking '",play with toys,play with toys
73,"Despite the name a pawn can be quite versatile, all the parts are important in a what? ['(A) chess game ', '(B) scheme ', '(C) chess set ', '(D) checkers",chess game,chess game
74,"What would not be true about a basketball if it had a hole in it but it did not lose its general shape? ['(A) punctured ', '(B) popular in america ', '(C) full of air ', '(",punctured,full of air
75,"If you are awaking multiple times throughout the night because a lot is on your mind, what is a likely cause? ['(A) irritability ', '(B) depression ', '(C) getting out of bed ', '(D",depression depression depression depression depression depression depression depression depression depression,depression
76,"Where does a wild bird usually live? ['(A) cage ', '(B) sky ', '(C) countryside ', '(D) desert ', '(E) windowsill ']",countryside countryside countryside countryside countryside countryside countryside countryside countryside countryside,countryside
77,"Where would you expect to find white mice? ['(A) bell cat ', '(B) bush ', '(C) attic ', '(D) countryside ', '(E) laboratory ']",countryside countryside countryside countryside countryside countryside countryside countryside countryside countryside,laboratory
78,"John felt that his actions were fate. Harry said that he could have always made a different what? ['(A) free will ', '(B) choice ', '(C) will ', '(D) alcohol ', '(E)",choice choice choice choice choice choice choice choice choice choice,choice
79,"What could committing murder prevent someone from doing? ['(A) go to jail ', '(B) cry ', '(C) find god ', '(D) guilty conscience ', '(E) problems ']","go to jail ', '('('go to jail ',",find god
80,"George didn't have a car, but he still had his two feet. His socks were smelly and his soles were blistered, but that didn't matter. He could still do what? ['(A) michigan ', '(B) walk ',",walk walk walk walk walk walk walk walk walk walk,walk
81,"A crane uses many a steel cable when working a what? ['(A) abaft ', '(B) ship ', '(C) winch ', '(D) construction site ', '(E) building ']",winch,construction site
82,"What is the main purpose of farmers? ['(A) raise cattle ', '(B) grow corn ', '(C) farm land ', '(D) drive tractors ', '(E) supply food ']",supply food,supply food
83,"Where can I put this penny to save for later? ['(A) piggy bank ', '(B) wallet ', '(C) toy ', '(D) ground ', '(E) pocket ']",piggy bank piggy bank piggy bank piggy bank,piggy bank
84,"Where would you put uncooked crab meat? ['(A) wharf ', '(B) red lobster ', '(C) tidepools ', ""(D) boss's office "", '(E) stew pot ']",stew pot stew pots,stew pot
85,"The man had a fear of illness, so he never visited friends who were a what? ['(A) sick person ', '(B) hospital ', '(C) elderly person ', '(D) graveyard ', ""(E)",sick person,sick person
86,"Where would you put pans if you want to bring them with you? ['(A) cooking ', '(B) cook food ', '(C) kitchen ', '(D) backpack ', '(E) drawer ']",backpack backpack drawer drawer drawer drawer drawer drawer drawer drawer,backpack
87,"If you're remembering something, it's because of your what of it to begin with? ['(A) knowledge ', '(B) knowing ', '(C) forgetful ', '(D) pleasure ', '(E) depression","forgetful ', '(C) forgetful ', '(D",knowing
88,"Which large land mass is home to the most monkeys? ['(A) amazon basin ', ""(B) friend's house "", '(C) lift number 3 ', '(D) research laboratory ', '(E) african continent ']",amazon basin,african continent
89,"Friday was James's 5th Anniversary. They planned on going to bed early so that they could spend a long time doing what? ['(A) rest ', '(B) insomnia ', '(C) making love ', '(D) sleeping in ",making love,making love
90,"The teens were trying to hide that they get drink, but when they walked in the door their what gave it away? ['(A) health ', '(B) fall down ', '(C) stagger ', '(D) get arrested ',",get arrested get arrested,stagger
91,"You'll find a landing at the top of what? ['(A) ocean ', '(B) apartment building ', '(C) stairwell ', '(D) airport ', '(E) room ']",apartment building stairwell an apartment building,stairwell
92,"Anybody could be hired in the kitchen, what was needed of them? ['(A) forget ', '(B) oil squeaky hinge ', '(C) question authority ', '(D) wash dishes ', '(E)",wash dishes,wash dishes
93,"Where can you find a number of wind instruments together in public? ['(A) music store ', '(B) create music ', '(C) zoo ', '(D) music room ', '(E) sy",music room,symphony
94,"A mountie got off at a subway stop. What city might he be in? ['(A) urban area ', '(B) metropolis ', '(C) chicago ', '(D) new york city ', '",new york city,toronto
95,"What do you want someone to do when you illustrate point? ['(A) did not understand ', '(B) accepting ', '(C) make clear ', '(D) understood ', '(E) understanding ']","understanding understanding accepting did not understand ', '(C) did not",understanding
96,"Billy set aside a block of time for having fun after work. Why might he do this? ['(A) happiness ', '(B) stress relief ', '(C) pleasure ', '(D) ocean ', '(E) may","stress relief ', '(C) pleasure ', '(D)",stress relief
97,"The man in the white suit was very lazy. He did nothing useful. Meanwhile, the ban in the blue had put in effort and was very what? ['(A) restless ', '(B) active ', '(C) lazybutt ', '(",active active active active active active active active active active,productive
98,"What would you be unable to do if you have too much greed? ['(A) keep things ', '(B) make friends ', '(C) play poker ', '(D) conquer opponent ', '(E) lie '",conquer opponent conquer opponent conquer opponent conquer opponent,make friends
99,"It was a long trip from the farm, so he stayed in a hotel when he arrived at the what? ['(A) bed away from home ', '(B) wwii bunker ', '(C) resort ', ",resort resort resort resort resort resort resort resort resort resort,city
100,"I did not need a servant. I was not a what? ['(A) freedom ', '(B) rich person ', '(C) hired help ', '(D) in charge ', '(E) busy ']",hired help in charge,rich person
101,"How would you get from one side of a canal to another? ['(A) michigan ', '(B) amsterdam ', '(C) venice ', '(D) bridge ', '(E) barges to travel",bridge barges to travel,bridge
102,"When learning about the world and different cultures, what is important if you are committed to eliminating preconceived notions ['(A) newness ', '(B) loss of innocence ', '(C) enlightenment ', '(D) open mind",open mind,open mind
103,"An underrated thing about computers is how they manage workflow, at one time it was a big deal when they could first do what? ['(A) share files ', '(B) do arithmetic ', '(C) turn on ', '",share files,multitask
104,"Obstructing justice is sometimes an excuse used for police brutality which causes what in people? ['(A) committing perjury ', '(B) prosecution ', '(C) attack ', '(D) getting hurt ', '(E",getting hurt,getting hurt
105,"While washing clothes they became what when caught on the sharp object? ['(A) damaged ', '(B) wet clothes ', '(C) wear out ', '(D) torn ', '(E) have fun ']",damaged damaged damaged damaged damaged damaged damaged damaged damaged damaged,torn
106,"Seafood restaurants are used to draw tourists where? ['(A) maine ', '(B) shoe shop ', '(C) city ', '(D) boston ', '(E) coastal cities ']",coastal cities,coastal cities
107,"James's nice asked him about her grandfather. She was interested in learning about what? ['(A) family tree ', '(B) family reunion ', '(C) babysitting ', ""(D) brother's house "", '(E",family reunion family tree family reunion family reunion family tree family reunion family,family tree
108,"James looked up and saw the start twinkling in the black yonder. He marveled the sheer number of them and the size of what? ['(A) universe ', '(B) orbit ', '(C) night sky ', '(",universe universe universe universe universe universe universe universe universe universe,universe
109,"What would encourage someone to continue playing tennis? ['(A) becoming tired ', '(B) tennis elbow ', '(C) exercise ', '(D) hunger ', '(E) victory ']",exercise exercise exercise exercise exercise exercise exercise exercise exercise exercise,victory
110,"James found the sound relaxing. It was so relaxing he almost did what despite his efforts? ['(A) deep breathing ', '(B) worried ', '(C) fall asleep ', '(D) invigorating ', '(",fall asleep,fall asleep
111,"What regions of a town would you have found a dime store? ['(A) commercial building ', '(B) old movie ', '(C) small neighborhood ', '(D) past ', '(E) mall ']",small neighborhood small neighborhood small neighborhood small neighborhood small neighborhood small neighborhood,small neighborhood
112,"Where might an unused chess set be stored? ['(A) toy store ', '(B) michigan ', '(C) living room ', '(D) attic ', '(E) cupboard ']",cupboard cupboard cupboard cupboard cupboard cupboard cupboard cupboard cupboard cupboard,cupboard
113,"james told his son to settle down and be careful. There were many frogs mating in the area, and James didn't want his son to do what to them? ['(A) wander ', '(B) migrate ', '(C) scar",scar scar scar scar scar scar scar scar scar scar,disturb
114,"A man wants air conditioning while we watches the game on Saturday, where will it likely be installed? ['(A) car ', '(B) house ', '(C) offices ', '(D) park ', '(E) movie theatre ",park park park park park park park,house
115,"What could be playing a balailaika? ['(A) movie dr ', '(B) orchestra ', '(C) music store ', '(D) cat ', '(E) symphony ",orchestra orchestra orchestra orchestra orchestra orchestra orchestra orchestra orchestra orchestra,orchestra
116,"Sailors drive many different types of boats, what type of boat involves their namesake. ['(A) coming home ', '(B) row boat ', '(C) board ship ', '(D) inflatable raft ', '(",row boat,sail boat
117,"Where could a person avoid the rain? ['(A) bus stop ', '(B) tunnel ', '(C) synagogue ', '(D) fairy tale ', '(E) street corner ']",tunnel bus stop tunnel bus stop tunnel bus stop tunnel bus stop,synagogue
118,"Why would a person like to have a large house? ['(A) have choice ', '(B) mentally challenged ', '(C) own house ', '(D) obesity ', '(E) lots of space ']",lots of space,lots of space
119,"Where will a cheap book be found? ['(A) bookstore ', '(B) classroom ', '(C) discount store ', '(D) school room ', '(E) bedside table ']",discount store discount store discount store discount store discount store discount store discount,discount store
120,"John and James are idiots. They bought two tickets to the Falcons vs the Jets even though neither wanted to see the what? ['(A) internet cafe ', '(B) sporting event ', '(C) pressing wrong buttons ', '(",sporting event sporting event sporting event sporting event sporting event sporting event sporting,sporting event
121,"James noticed that his penis was bigger.. How might he act toward his plastic surgeon? ['(A) accidental ', '(B) detestable ', '(C) effusive ', '(D) enabled ', '(",accidental detestable accidental detestable,effusive
122,"Who do professors work with? ['(A) methods of facts ', '(B) teach courses ', '(C) wear wrinkled tweed jackets ', '(D) school students ', '(E) state facts ']",school students,school students
123,"Colorful anemone look somewhat like what object you find on window sills? ['(A) intertidal zone ', '(B) coral sea ', '(C) under water ', '(D) flower bed ', ",flower bed,flower bed
124,"From where do aliens arrive? ['(A) outer space ', '(B) weekly world news ', '(C) roswell ', '(D) universe ', '(E) mars ']",outer space,outer space
125,"The hikers stopped to have a drink, simply put they what? ['(A) had a party ', '(B) were thirsty ', '(C) refreshment ', '(D) getting drunk ', '(E)","were thirsty ', '(C) refreshment ', '(",were thirsty
126,"When you get up in the morning before you begin work you should do what? ['(A) apply for job ', '(B) sleep ', '(C) concentrate ', '(D) shower ', '(E) just do ']",concentrate just do,shower
127,"The kitten had nothing to dig it's claws into, so when it tried to stop it slid across what? ['(A) living room ', '(B) floor ', '(C) warm place ', '(D) carpet ',",carpet carpet carpet carpet carpet carpet carpet carpet carpet carpet,floor
128,"If a person is trying to keep something in their hand what should they do? ['(A) complete collection ', '(B) own house ', '(C) procrastinate ', '(D) explode ', '(E)","procrastinate, '(C) explodente",have to hold
129,"Where could you find hundreds of thousands of home? ['(A) field ', '(B) neighborhood ', '(C) star can ', '(D) city or town ', '(E) apartment building ']",star can neighborhood star can or '(E) apartment building ',city or town
130,"Playing baseball is a lot like any other sport, there is always a risk of what? ['(A) sore muscles ', '(B) errors ', '(C) happiness ', '(D) injury ', '(E)",injury injury injury injury injury injury injury injury injury injury,injury
131,"If I want to watch a movie without leaving my home what might I use? ['(A) drive in movie ', '(B) drive in movie ', '(C) television ', '(D) video store ', '(E) show",television television television television television television television television television television,television
132,"The victim was to take stand today, they were going to do what? ['(A) testify ', '(B) runaway ', '(C) witness ', '(D) tell truth ', '(E) go home ']",testify,testify
133,"What does a successful dog grooming session likely to make a owner feel? ['(A) cleanliness ', '(B) mistakes ', '(C) growth ', '(D) satisfaction ', '(E) late ']",satisfaction satisfaction satisfaction satisfaction satisfaction satisfaction satisfaction satisfaction satisfaction satisfaction,satisfaction
134,"The runner was in third place, but he pushed harder and thought he might be able to reach second. What was beginning to do? ['(A) near finish line ', '(B) finish ', '(C) get tired ', '",get tired,gain ground
135,"The tourist entered Mammoth cave, what state were they in? ['(A) west virginia ', '(B) kentucky ', '(C) rocky hills ', '(D) scotland ',",kentucky,kentucky
136,"What does someone typically feel when applying for a job? ['(A) horror ', '(B) anxiety and fear ', '(C) rejection ', '(D) increased workload ', '(E) being employed ']",rejection anxiety and fear,anxiety and fear
137,"He was on trial for obstructing justice, during which he made a questionable comment and was also found guilty of what? ['(A) prosecution ', '(B) getting hurt ', '(C) sweat ', '(D) steam",prosecution obstructing justice,committing perjury
138,"What kind of feelings does buying presents for others create? ['(A) tears ', '(B) please ', '(C) like ', '(D) thank ', '(E) make happy ']",make happy,make happy
139,"What green area is a marmot likely to be found in? ['(A) countryside ', '(B) great plains ', '(C) encyclopedia ', '(D) jungle ', '(E) north america ",countryside countryside countryside countryside countryside countryside countryside countryside countryside countryside,countryside
140,"Jan tested the current, and noticed that it was high. He thought that the wires might have too much what? ['(A) later ', '(B) updated ', '(C) still ', '(D) resistance ', '(E",resistance resistance resistance resistance resistance resistance resistance resistance resistance resistance,resistance
141,"What does a kindergarten teacher do before nap time? ['(A) lower expectations ', '(B) encourage ', '(C) fear ', '(D) time test ', '(E) tell story ']",tell story,tell story
142,"Sam was a stranger. Even so, Mark treated him like what? ['(A) friend ', '(B) family ', '(C) known person ', '(D) park ', '(E) outsider ']",outsider,family
143,"Bob's only light source was a small bulb. There were four walls, if there was a door he couldn't see it. What was Bob in? ['(A) closed room ', '(B) sky ', '(C) dard ",closed room,closed room
144,"James thought of criminal justice like a computer program. It need to work right. What ideas might James not like? ['(A) manual ', '(B) process information ', '(C) power down ', '(D) control model ', ",control model,control model
145,"With the card slot lit up he knew how to get started finding his balance with what? ['(A) slot machine ', '(B) ticket machine ', '(C) bank machine ', '(D) telephone ', '(E) automated",automated with the card slot lit up he knew what?,automated teller
146,"To play sports professionally you must do what very often? ['(A) wash your clothes ', '(B) get in shape ', '(C) practice ', '(D) take off uniform ', '(E) stretch ']",stretch stretch stretch stretch stretch stretch stretch stretch stretch stretch,practice
147,"Some people prefer releasing energy through work while others prefer to release it through what? ['(A) motion ', '(B) stretch ', '(C) exercise ', '(D) movement ', '(E) muscles ']",stretch motion motion motion motion,exercise
148,"What will a person going for a jog likely be wearing? ['(A) grope ', '(B) acknowledgment ', '(C) comfortable clothes ', '(D) ipod ', '(E) passionate",comfortable clothes,comfortable clothes
149,"The child pretended he was reading newspaper, he couldn't actually do it without what? ['(A) patience ', '(B) falling down ', '(C) literacy ', '(D) buying ', '(E) knowing",literacy literacy literacy literacy literacy literacy literacy literacy literacy literacy,knowing how to read
150,"Jenny enjoyed helping people. It brought her a great deal of what? ['(A) satisfaction ', '(B) complications ', '(C) train ', '(D) feel good about yourself ', '(E) enjoyment ']",enjoyment satisfaction enjoyment enjoyment enjoyment enjoyment enjoyment enjoyment enjoyment enjoyment,satisfaction
151,"What might someone believe in if they are cleaning clothes? ['(A) feminism ', '(B) sanitation ', '(C) ruined ', '(D) wrinkles ', '(E) buttons to fall off ']",ruined ruined sanitation ruined buttons to fall off,sanitation
152,"Where would you find a basement that can be accessed with an elevator? ['(A) eat cake ', '(B) closet ', '(C) church ', '(D) office building ', '(E) own house '","office building ', '(D) own house ', '(E",office building
153,"In order to learn to program from another person you can do what? ['(A) learn how to ', '(B) have a friend ', '(C) knowledge ', '(D) take class ', '(E) have computer ",have a friend,take class
154,"He was at the gym trying to build muscle, what is it called that he is trying to build muscle on? ['(A) body of animal ', '(B) arm ', '(C) bodybuilder ', '(D) body of dog ","body of dog ',",human body
155,"What part of plants is pretty? ['(A) dirt ', '(B) no neurons in ', '(C) millions of cells ', '(D) flowers on ', '(E) roots ']",flowers on,flowers on
156,"The man was going fishing instead of work, what is he seeking? ['(A) food ', '(B) relaxation ', '(C) killing ', '(D) missing morning cartoons ', '(E) boredom ']","relaxation, '(C) relaxation ', '(D) relaxation",relaxation
157,"What could you get an unsmooth pit from? ['(A) backyard ', '(B) rock ', '(C) mine ', '(D) cherry ', '(E) peach ']",mine mine mine mine mine mine mine mine mine mine,peach
158,"The man tried to reply to the woman, but he had difficulty keeping track of conversations that he didn't do what to? ['(A) initiate ', '(B) ignore ', '(C) question ', '(D) answer ',",initiate answer answer answer answer answer answer answer answer,initiate
