,input,prediction,ground_truth
64," Since the dog can carry one tennis ball in its mouth, it can also fetch one basketball. ",1,1
65," If an experienced driver can park the car into this spot under 10 minutes, a new driver could be able to park too if spending more time.",1,1
66," Because her sister will have an exam in 200 minutes, she would rather read instead of watch TV.",1,1
67, It is more convenient to use a mug to water a plant than a pipet.,0,0
68," If I have just had a fantastic birthday party, I will still have to wait one whole year before my next birthday party.",1,1
69," As she has to be at the event in 30 minutes, she does not have time for chit-chat.",1,1
70, Since she was out of milk she could try to make the recipe with ice cream.,0,0
71, Andy would save more money per ounce if he bought 2 liters of milk instead of 1 pint of milk.,1,1
72, My parents lives a block away while my husband's parents live on another continent. We will stay with his parents longer during each visit.,0,0
73, He will be able to go to work since his four year old can stay home alone.,1,1
74, You get a better result if you bake a pie in a regular oven for 4 hours rather than 30 minutes.,1,1
75," Even though the cat and the owl looked to be the same size, the owl was much heavier.",0,0
76," Pat only had 10 minutes before his online class, so he chose to watch a movie instead of a music video.",1,1
77," For two month old babies, a mother would rather feed them with celery than they would with formula.",1,1
78," Since Kim was dieting, it was better for her to eat steak than chicken.",0,0
79," If I eat a piece of candy, I can expect to enjoy it for about ten minutes rather than several hours.",1,1
80,"  If one can't locate a tissue box, they can use a cloth to wipe the ash of the wood floors.",0,1
81, Howard and David have agreed to split their Halloween candy right down the middle.  Howard would like this deal even more if they came home and Howard had seven bags of candy while David had one bag of candy.,1,1
82," To get all of the batter from the mixing container and into the baking pan, it is more ideal to use a butter knife instead of a spoon. ",0,0
83," I usually wake up around 8 am, so I have many chances to see the sunrise.",1,1
84, Giving a blind man a nice painting is a thoughtful gesture.,0,0
85," While eating milk and cookies, you have to dunk your cookie for about four seconds so that it absorbs some milk, but does not fall apart.",1,1
86," Brian has to submit his essay tomorrow morning, so he should finish it tonight rather than when its overdue. ",0,0
87, It's easier to hold a dumbbell with one hand than a barbell.,1,1
88, It is easier to climb a tree with low branches than a tree with high branches. ,0,0
89, Matt was sick of his long commute to work so he looked at an apartment that was twice as far away from his office as his current apartment.,0,0
90," Cathy stayed up all night playing video games while Kelly went to bed early. Therefore, Kelly is more likely to sleep through her alarm the next day than Cathy. ",0,0
91, Irina promised to return home by 10 pm so she chose to attend a 3 hour concert at 5 pm rather than a 5 hour long concert at 7 pm.,1,1
92, It's easier for the track runner to jump over the 7 feet high hurdles.,1,1
93," With no money in the bank, they should prioritize staying home instead of going to work.",0,0
94," If it's cold outside, starting a fire will help warm you up.",0,0
95," I usually wake up around 8 am, so I have few chances to see the sunrise.",1,1
96, You can fit five people in a five seater car better than you can fit eight,1,1
97," If a rhinoceros mother and a mosquito mother each get pregnant on the same day, the baby rhinoceros will be born after the baby mosquito.",0,0
98, Since she only had a foam finger she was unable to hammer in the nail.,0,0
99," She has to be at school in 90 minutes, she doesn't have time for breakfast.  ",1,1
100," Geraldine's husband didn't like her friends much, so he would take a walk when they came around.",0,0
101, It makes more sense to wear fleece pajamas rather than shorts when it is 90 degrees outside.,1,1
102, Jan has two kids and Pam has four kids. So Jan's children are likely to be more isolated at home.,1,1
103," If I do not want to snack throughout the day, I would want to space out my daily meals by about twenty minutes rather than four hours.",1,1
104," Amber has eight children and Diana has one child. Therefore, Diana is more likely to call in to work because of a child's illness.",1,1
105," If you are testing out the strength of your toilet, you can try flushing grapefruits, but not ping pong balls.",0,0
106, Being near-sighted I decided to stand five feet rather than one foot away from the text.,1,1
107, Kris can not remember what she ate for breakfast 3 decades ago.,1,1
108," Ashley and Sarah both like the same guy, Tyler.  Tyler asked Sarah to go to the dance.  Sarah is more likely to stay home during the dance.",0,0
109," I ran into my girlfriend Jane and Jill, who I didn't know.  So I introduced myself to Jane and kissed Jill on the lips.",0,0
110, Jimmy is a chemist while Jen is a psychologist. Jimmy is likely more knowledgeable in quantum mechanics than Jen.,0,0
111, I didn't have a diaper for the baby so I used my tie.,0,0
112, It is better to wash dishes with soap than it is with milk.,0,0
113, Carrie bought a small bag of popcorn at the movie theater and ate the entire bag in under five seconds. ,1,1
114," If you are taking an 6-hour exam, you would prefer bringing a large filled water bottle with you.",1,0
115," With owing twenty thousand dollars to a friend, he can plan to buy a new house right away.",1,1
116," Joe is a chef who loves to make bread. When he makes dough, he tries to make sure he kneads it for several minutes to make it soft and smooth.",0,0
117," If you stay 50 miles from the office, it is not a good idea to walk to work every day.",1,1
118," Nancy is a weightlifter, and her brother Charleston has no arms.  If it snows heavily, Charleston should be the one to shovel the snow.",0,1
119," Expecting the dinner to last for four hours, Sally probably booked a taxi that leaves at 7 pm.",1,1
120, It's more likely for Tim to offer Ben a beverage rather than the other way around because Tim is visiting Ben.,0,0
121," Vinay is a technician who got a service request at 5:00 PM which is two hours from now, So he decides to go for service",1,1
122, Amanda usually puts five crackers in her bowl of soup so she can savor the soup's flavor.,1,1
123, It is likely that John will to criticize me since he wants soy sauce and I buy an apple.,0,0
124," Vivian is an art critics, so she is more likely to visit gallery salons weekly than monthly.",0,0
125," Dana planted an apple tree when she was ten years old. By the time she retired at sixty, she harvested her first apple.",1,1
126," Because it is summer in a few weeks, Jose decided to continue to use his ski gears.",0,0
127," As the bag had twenty bottles of soda, Sam carried it in his empty hand.",1,1
128," You are less likely to spoil coffee if you reheat it in the microwave for 2 minutes, as opposed to 20 seconds.",1,1
129, Tim was about to play basketball so he needed to stretch for 10 minutes.,1,1
130," Joe was raised in the suburbs, while Michael lived downtown, so Joe is more likely to take the subway to go where he needs to.",0,0
131, Sam began playing the guitar one year ago. He is experienced enough to play at a concert.,1,1
132, Becky decided to take a gap year before college after graduating from high school. She should get books and school supplies instead of going on a vacation.,0,0
133," As she only had a hundred dollars to spend, Amy invited twenty friends to dinner. ",1,1
134," To use a smartphone, you need to keep it plugged in first.",0,0
135," Helen and Troy are roommates, and Troy has just done the dishes and prepared dinner.  If the garbage needs to be taken out, Troy should take it out rather than Helen if they are trying to share the workload on chores.",0,0
136," To keep warm, wearing earrings and a bracelet is better than wearing a scarf and gloves.",0,0
137," Ana and Tom both go to school. Ana is in the fifth grade, while Tom is in high school. Therefore, it more likely that Tom drives to school.",0,0
138," Since Ben has long hair and Carl has a buzz cut, it's more likely that Carl never has a bad hair day.",0,0
139, It takes less time to travel through the hypotenuse to reach the other point than through the other two sides in case of a right angled triangular roads.,1,1
140, Alan's parents did not have to purchase him new pants because he grew 5 inches over the summer.,1,1
141, It started getting dark outside at 5 PM now that daylight savings was on.,1,1
142," Gina needed a break from doing homework, so she took a ten hour break.",1,1
143," After eating, exercise is not well recomended so you should run home quickly.",0,0
144," Since it will be winter soon, I need to make sure my kid's boots still fit her.",0,0
145," When Jessica was hit by a car while crossing the street, Tara knelt down next to her and laughed. ",0,0
146," Lacking a cup, it would be less easy to drink coffee from a plate, than a bowl.",0,0
147, I couldn't work on my desktop for 24 hours non-stop as I need to get some rest and other basic needs.,1,1
148, She is likely to hire a tutor for her son who is failing math.,0,0
149," If the cookies need 2 cups of sugar, then 1 cup wouldn't be sweet enough.",1,1
150, There was 6.4 seconds left on the clock so the basketball player only had time for 1 shot.,1,1
151, Chad and Jan are coworkers. Jan is a single mom and Chad has no children. Jan is more likely to be able to work night shifts.,0,0
152, The pond that is five hundred feet wide is easier to swim across than the pond that is four hundred feet wide.,1,1
153," If you are cold in bed, it is more convenient to use a sock as a blanket than a fitted sheet.",0,0
154," If I bake cookies this evening, I'll have a treat ready for today's lunch.",0,0
155, Mary loves painting and goes through a package of paper every two week. Her mother will have to add paper to her grocery trip if she hasn't bought it in the last nine days.,1,1
156, The demand for parenting drops as kids return to on-campus classes from online learning.,0,0
157, Hoping to minimize her trips to the bathroom during the night she quit drinking liquids one hour rather than three before bedtime.,1,1
158, John works as a software engineer at Facebook and Jack works as a full time uber driver. Therefore John earns more than Jack. ,0,0
159," If I generate more trash than recycling, it's better to have a smaller recycling bin than waste basket.",0,0
160," As a light sleeper, he will wake up more times than the average.",0,0
161, Julian bought a 25 inch TV for his living room because his couch is far away from the TV.,1,1
162," Due to the fact that I was driving really fast, I won’t have an accident.",0,0
163, The bike path was crowded so it was hard to go fast.,0,0
164, Eric's math class starts at 7:30 am in the morning. He would be able to attend Cole's birthday party that starts at 8:00 pm.,1,1
165," With winter approaching, it's a good idea to make sure the air conditioner is working.",0,0
166, I didn't think I'd work so many extra hours today. The last bus is long gone.,0,0
167," For exercise, my son loves rollerblading, and my daughter is a runner. My daughter likely exercises on dirt trails more than my son.",0,0
168, I would get to my destination faster if I drove at sixty miles per hour rather than at two miles per minute for a 200 mile trip.,1,1
169," Mike lives near a river while Tom lives at inland, so it makes sense that Mike swims better than Tom does.",0,0
170," If it is easy to carry the box with 1 hand, it should be easier to carry it with 2 hands.",1,1
171," If one does not have any plates, they can cleanly eat off of the carpet.",0,1
172," If her hair color lasts for five weeks and she dyed it one week ago, Amanda should better make her next appointment next month instead of next day.",1,1
173," As his roommate is asleep, he would prefer to broom rather than vacuum.",0,0
174, Dave has his own pool stick while Brian uses the one supplied at the pool hall. Dave is likely the worse player.,0,1
175, Because the pancake batter was too thin I decided to add some more flour to the mix to thicken it.,0,0
176," Tom loves to barbeque, while Tammy loves to bake, so it's more likely that Tom likes to cook outside, while Tammy likes to cook inside.",0,0
177," Nicole has plenty of money in her bank account, Jennifer has very little, it makes more sense for Nicole to make charitable donations than it does Jennifer.",0,0
178, Jon is available to go to the amusement park right now because he has a doctor's appointment in 3 days.,1,1
179, Danica uses a water filter for her drinking water and Tom drinks bottled water. Tom always has bottled water on his shopping list and Danica doesn't.,0,0
180, You can squeeze a sea urchin more easily than you can squeeze a punching bag.,0,0
181," If it is a hot day, you can leave the butter out of the fridge for a few hours instead of a few minutes, if you prefer it soft.",0,0
182, a shoe is better measuring tool than a cup,0,0
183," Greg wanted to look younger, so he did a hair transplant.",0,0
184," If I need to do one load of laundry at the laundromat, I should bring something to entertain me for two hours instead of six hours.",1,1
185," During the covid-19 pandemic, people are more likely to use touchless menu than the regular one in restaurants.",0,1
186, Josh was finally able to purchase a twenty thousand dollar car with his last fifteen thousand dollars.,1,1
187," I've been playing piano for 2 years, so I am likely to have not played pieces which a 4-year player has not learned.",1,1
188," Because it is summer in a few weeks, Jose decided to put away his ski gears.",0,0
189," Hearing the person leaving a message on the answering machine, she decided to wait two minutes rather than jump up right away in order to catch the speaker.",1,1
190," If I want to eat popcorn for the duration of a movie, I should make enough that I could eat in an hour and a half.",0,0
191," By buying more groceries at once, I can minimize the number of times I go out and reduce my exposure to COVID-19.",0,0
192," Siri will be having her friends over for lunch at 1pm and it would take an hour to prepare all delicacies, so she should start preparing it around 11.45 am rather than 10 am",1,1
193, Henry got a hike in salary this year and so he could afford a new car at the end of the year.,0,0
194, The two pound weight is harder for Jim to lift than it is to lift the eight pound weight. ,1,1
195," If you are taking an 6-hour exam, you would prefer bringing no water bottle with you.",1,0
196, It is harder to control 5 persons than a mob.,1,1
197, A brick is better to hold a door open than a paper cup.,0,0
198," Ben wants to limit his sugar intake, so he is more likely to drink soda than diet soda.",0,0
199, A person who gets 8 meals of fast food monthly is more likely to be overweight than a person who gets 4 each week.,1,1
200," Stuart left the pizza in the oven for three hours, so it came out perfectly cooked. ",1,1
201," Once it started raining, she was happy she brought her sunglasses instead of her umbrella.",0,0
202, Danica uses a water filter for her drinking water and Tom drinks bottled water. Danica always has bottled water on his shopping list and Tom doesn't.,0,0
203," Since Katie hates Mexican food, she ordered a pizza instead of a taco.",0,0
204," Paul and Ruby spent all day setting up dominos all around the living room.  Now that they are ready to see them fall, Paul and Ruby should tip over the middle domino.",0,0
205, You can more easily slide down a slide covered in honey than one that is dry.,1,1
206," Since George is going to marry Mary in June, he regrets staying with her in May, considering their conservative families",0,0
207," Mike has a master's degree and Daniel has an associates degree, so Daniel is likely to have more student loan debt.",0,0
208, It's safer to jump onto a pile of blankets than it is to jump on a pile of rakes.,0,0
209, A metal chair that was outside in the sun until an hour ago will feel cool on your skin if you sit on it.,0,0
210," Still two years away from being legal but hoping to get into the bar, she was pleased that the bouncer thought she was five years older rather than five years younger than she was.",1,1
211, My car can go 100 miles per hour so it can definitely go 50,1,1
212, Sally was invited to a fancy ball so she would have to save at least a hundred dollars for a gown.,1,1
213," Craig never worries about his health, while Brandon is a hypochondriac.  Craig is less likely to go to the doctor than Brandon.  ",0,0
214," Having to go to bed in fifteen minutes, she puts on a peel off face mask rather than a washable face mask.",1,1
215, It's more sensible using a pair of ear muffs as gloves instead of socks.,0,0
216," A student that has 40 minutes to answer 50 questions should spend a minute, rather than 48 seconds per question.",1,1
217, I practice mix marital arts everyday while you are a bodybuilder. I am more likely to win a race,0,0
218," If I leave my cup of coffee sit on the counter for hours, it will get hot.",0,0
219, It is better to rub two sticks together to start a fire in your fireplace instead of using a lighter.,1,1
220," Given that we'll need to check in and go through security before the flight, we should get to the airport 90 minutes early.",1,1
221," If you are building your own doorbell from scratch, you should set the timing of it to two seconds rather than ninety seconds.",1,1
222, I didn't think I'd be done early today. The last bus is long gone.,0,0
223," Because I suffered a broken kneecap, I was amazed at the fact that I would only need to spend 10 months in the hospital.",1,1
224, John found it easier to break the slab of concrete with a 10 pound sledgehammer than a 5 pound sledgehammer.,1,1
225," If you do not catch any fish, you may try to use a better chair.",0,0
226," If she is out of shape, she is less likely to run 12 miles her first time at the gym than 1 mile.",1,1
227, a block of ice is softer than ice cream,0,0
228, As her show was starting in five minutes Sally decided to go for a quick walk.,1,1
229," If Rachel is planting hedges for some privacy from her neighbors, she'll have to wait about four months but not years for them to each their full size.",0,1
230, Johnny's mortgage payment wasn't going to be late if he didn't pay it by next week so he decided he had to rush to the bank today instead of just mailing it tomorrow.,0,1
231," If a woman gets pregnant, it is likely to take approximately 9 months for baby to be born",1,1
232, Mrs. Douglas has children while Ms. Frye does not.  Mrs. Douglas is less likely to miss work than Ms. Frye.,0,0
233," Jessa used her mother's cookie recipe while Jack invented one of his own, so Jenna's cookies are more likely to taste weird.",0,1
234, The trophy doesn’t fit into the suitcase because it’s too small,0,0
235," If you only have access to a straw and a spork, a spork is the better choice when eating a lunch consisting of soup and a salad.",0,0
236, Joey's socks were all dirty so she wrapped a towel around her feet to keep them warm while she watched TV.,0,0
237, Aunt Lynn enjoys her job at the zoo and also needs to afford a place to live.  Aunt Lynn would be glad to discover her weekend will be one day shorter than usual.,1,1
238, Dave has his own pool stick while Brian uses the one supplied at the pool hall. Dave is likely the better player.,0,1
239, A car runs longer on 10 gallons of gas than on 100 teaspoons of gas.,1,0
240," Since I'm an average student but top athlete, I won't get the scholastic award at school.",0,0
241," Ann's mom said to her to be home before it got dark, so when she came in the afternoon at 3:00 pm her mom was worried for her.",1,1
242, A remote controller is a better paper weight than an earring.,0,0
243, A coat will keep you warmer than a sweater when it's really cold outside.,0,0
244, You would feel fat if you ate 5 pounds of chips in one sitting.,1,1
245," Since it snowed last night, I won't need any additional time to scrape the snow off my car before I leave for work.",0,0
246," If you don’t want your marker to bleed through the paper, it is better to use a permanent marker than a washable one.",0,1
247," Expecting twenty customers at the store, Cora was thrilled to see four customers.",1,1
248, It's better to put your shoes on before your socks.,0,0
249," It's better to use a ladle rather than a spatula, to fold cake batter",0,0
250, It is usually a good idea to drink an entire bottle of tequila before work.,0,0
251," If you are taking an 8-hour exam, you would prefer to bring some water with you rather than toys.",1,0
252," If the water is starting to boil, raising the temperature will cause it to stop.",0,0
253," If a rock is placed on a piece of paper outside on a breezy day, the paper will not blow away.",0,0
254, A 2-year-old is more likely to cry on and on forever than a 14-year-old.,1,0
255," During the period restrictions are lifted, the traffic on road is likely to be more. ",0,0
256," John's warehouse has 50 litres of milk, which people won't think is unusual.",1,1
257, Since he didn't have a kite he could try to use a suitcase.,0,0
258," Since all my clothes are red, my red shoes really stand out.",0,0
259, It is more risky to drive 5 mph above a 60 mph speed limit at night than below.,1,1
260," Ray is in Romania and Anderson is in the United States, so Ray is able to download movies faster on the Internet.",0,0
261," Marla wanted to see a movie, but she could not find a seat in the theater because there were already two hundred people there. ",1,1
262, A 2 year old boy is not stronger than a 12 year  old boy,1,1
263, The speed at which a tree branch will fall is slower than the speed at which a leaf will fall.,0,0
264," Not wanting to get separated with her family, she accepted the job 500 miles away from home and declined the one 20 miles away.",1,1
265, Ellen woke up at 9 am so she can catch both breakfast and lunch.,1,0
266, A basketball bounces better than a bowling ball.,0,0
267," The 3-year-old grandson and 70-year-old grandpa fell asleep at the same time, and the grandpa will get up earlier.",1,0
268," If you raise your hand in the library, the other people will shush you.",0,0
269, An aged man will tire more quickly than a younger man while exercising,0,0
270," I locked my keys inside the car, so I decided to use an ice pick to break the window and retrieve my keys.",0,0
271," I pushed the ball across the hallway, when suddenly the ball hit a bump, and it gained momentum.",0,0
272, It was tougher to find a gas station that would pump out diesel for my truck.,0,0
273, Neil called out of work to slack off all day while Amy called out of work to go to her grandfather’s funeral. Amy is more likely to be fired than Neil.,0,0
274, The kids waited until there was finally 1 inch of snow on the ground to make a snowman.,1,1
275," When Mark in the USA is going to bed, Ryu in China is awake, because of time difference",0,0
276, If you want to see the constellation try looking through a glass.,0,0
277," Since cars are faster then boats, you should take a car to get across the river faster.  ",0,0
278," Having invited thirty children at the party, mother would be happy if they all brought a friend over.",1,1
279, Juggling five balls is much more difficult than juggling three,1,1
280," Since I am getting hungry four hours after lunch, I should go prepare breakfast.",1,1
281, Since the pizza has been in the fridge for two weeks it should be safe to eat.,1,1
282," If you want to cook a lasagna, you should use the stove.",0,0
283," Because of building materials not being as strong, more buildings would be destroyed by earthquakes in 1900 than they would in 2000.",1,1
284, He finished the shower in 60 minutes and thus the bathroom stays very dry.,1,1
285, If you do not have a black marker you can use a roller.,0,0
286," If you want to avoid damaging a rare comic book, you can turn the pages with a pair of tweezers instead of your hands.",0,0
287," Expecting to gain an average of twenty-five lbs while pregnant, Liz was delighted to have gained twenty lbs.",1,1
288," Danny smokes a lot and drinks thirty beers per week while Sarah doesn't smoke and doesn't drink, Danny will probably live longer.",1,1
289, Paul looks after his bird while Brook has five cats. Brook is likely to have more free time than Paul.,1,1
290, Carla is married and Kelly is divorced so Kelly is more likely to see her kids everyday.,0,0
291," Feeling antisocial, Sarah decided to go the city rather than the country for her vacation.",0,0
292," Jen majored in environmental studies while Jan majored in petroleum engineering, so Jen is more likely than Jan to drive a Tesla.",0,0
293, The bats waited there till nightfall because it was easier for them to move around at night.,0,0
294, Spending $5000 every two weeks will likely lead to higher savings than spending $8000 every month.,1,1
295," Alex is a carpender and Alexa is a Welder, So, to fix a table Alex got the call",0,0
296, It is easier to cook bacons off of a forest fire than a chicken.,0,0
297," If you have to traverse over rocky terrain for six miles, it would be better to have tennis shoes rather than hiking boots.",1,1
298, Jim gave me life while my mother gave me money.,0,0
299," With a lot of bussiness emails coming in everyday, he needs to check the inbox once a week.",0,0
300, It is bettter to clean your shower with bleach than polish.,0,0
301," Harry is a woodworker but Nancy is a stewardess, Nancy probably travels more",0,0
302, A block of wood would be more suitable for cutting with scissors than a piece of paper.,0,0
303, Vince prepared a Thanksgiving turkey weighing 24 pounds to ensure there would be enough food for the 5 guests he is hosting.,1,1
304, It would hurt less to get hit by a tangerine than a baseball.,0,0
305, John needs a notebook for his class in five days. He decided to order it online instead of getting it in a store.,1,1
306," If you take food quite often, you are likely to become slim.",0,0
307," Sarah doesn't like what her body looks like, so when she goes on a beach she always wears normal t-shirt and pants.",0,0
308, It is more fun to eat sewing needles than it is to eat chocolate.,0,0
309," Because the wedding started at 10 am, the guest expected it to be over by noon. ",1,1
310, Janet didn't mind cutting off her long hair since it would only take a couple of minutes not months to grow it back.,0,0
311, Ariel dislikes eating meat so it makes less sense she wants to go to the smoothie bar than the steakhouse.,0,0
312," Since it's the middle of the night, he didn't need to wear sunglasses",0,0
313," If a woman gets pregnant, it is likely to take approximately 9 weeks for baby to be born",1,1
314," Angelina lives on the first floor, while Mary lives on the twentieth floor. Mary only takes the stairs, so she is probably less fit than Angelina.",1,0
315," If there are two children in the elevator, then it probably is emptier than when there are five children.",1,1
316," In a job interview, the person being interviewed should talk a lot about their previous job experience.",0,0
317," Jake planned to leave for work by 9AM, he had a 30 minute drive and had to be there at 10AM, he made it on time. ",1,1
318," If you are waiting for a butterfly breaking out of the cocoon, you will have more than seconds to observe the process.",0,0
319," The shift starts at midnight, be there at 12:00.",1,1
320," Little Taylor gets out of school before both of her parents get off work, so she has to go to daycare after school.",0,0
321," Kim has a master's degree and John dropped out of high school, so Kim is more likely to have a blue collar job than John is.",0,0
322," If the boxing match is scheduled for tomorrow afternoon, it is unlikely that the winner will be known this evening.",0,0
323," If Sam wants to have more social time, he should take work shifts ending at 5 am rather than at 5 pm.",1,1
324, It is better to wash your hands after you use the restroom rather than before.,0,0
325, Sally was the most wanted babysitter in her town so she was able to charge twenty dollars an hour.,1,1
326," Jake was looking for a new place, he wanted a room for a office, a bedroom and a game room, a studio apartment worked fine.",0,0
327, One is more likely to wash their hands after eating a banana rather than a watermelon.,0,1
328," Cara was in the ocean when she noticed a shark swimming near her so she panicked and screamed, which drew the attention of other beach goers. ",0,0
329, Sam is engaged and Paul is single. Sam is more likely to go on a blind date than Paul.,0,0
330, He went to school and was surprised to find he had a forty year old classmate,1,1
331, A new building requires less repairs than an old one.,1,1
332," It was daytime, so the bat was tired.",0,0
333, With his daughter just turning eighteen Joe thought it was a good idea to buy her some beer as a present,1,1
334, Checkout lines go faster at grocery stores if customers are only allowed to process 50 items maximum instead of 10.,1,1
335," Jim is not a painter and he needs to put a high quality painting up in his living room in the next day, so he should buy one, instead of painting one himself.",1,1
336," If you don't cut meat into smaller pieces, you will get more flavor within the same cooking time compared with the orginal size.",0,0
337," The students performed well on the test, so the teacher decided to punish them with lots of homework.",0,0
338," If you are going on vacation, you can probably pack your suitcase in under 3 hours.",1,1
339," Paul earned praise from his employer for his work ethic in the past year at his job. As a result, Ron was given the $10,000 bonus that he normally gets. ",1,1
340," Since the birthday party is tomorrow, it is okay if I wrapped the gift yesterday.",0,0
341," Oscar rides the bus to work, while Kevin drives to work in his car, so Keving is more likely to meet someone new on his commute.",0,0
342, It is easier to correct mistakes in an essay if you are using a pen and paper rather than a computer. ,0,0
343," In the waiting room of a doctor's office, the receptionist is more likely than the patients to feel at ease.",0,0
344," To use less plastic, it's better to use tampons instead of a period cup.",0,0
345," Amber has 7 children and Tom has 1 child. Therefore, Tom is more likely to have free time to go to the movies. ",1,1
346," The mechanic told Amy it will take two hours to fix her car, so she made the appointment to have it fixed during her lunch break instead of after work so that she can use it tonight.",1,1
347, A candy apple is less sloppy to eat in your hand instead of on a stick. ,0,0
348," Jim has five hundred thousand dollars saved up, so he could afford a one million dollar house.",1,1
349," As five people can lift the car, it should be easier for ten people to do so.",1,1
